heightwholenum,framemat,framefunc,widthWholeNum,lift,itemset,locationtype,leadmechanic,TotalInstallationTime,LongCarry
78,METAL,SIDELITE,20,2,SCREW BEADS,9,90,65,NULL
28,VINYL,FIXED,19,52,SNAP BEADS,9,90,60,NULL
79,,,40,4,SCREW BEADS,2,118,30,NULL
59,,,50,36,SCREW BEADS,5,6,85,NULL
5,,,61,84,SNAP BEADS,1,211,40,NULL
35,,FIXED,21,36,SNAP BEADS,2,90,60,NULL
44,,,44,48,VINYL BEADS,2,132,40,NULL
26,,,27,60,WRAP AROUND FRAME,1,211,50,NULL
32,,,24,204,PUTTY,2,118,75,NULL
43,,FIXED,21,40,VINYL BEADS,9,118,40,NULL
14,,,12,64,PUTTY,9,228,40,NULL
11,,,26,48,,9,137,45,NULL
29,VINYL,FIXED,14,52,VINYL BEADS,9,62,30,NULL
70,,FIXED,48,24,WRAP AROUND FRAME,10,211,75,NULL
59,ALUMINUM,FLUSH GLAZE,47,36,NO BEADS,2,62,120,NULL
20,STEEL,,16,10,PUTTY,2,62,60,NULL
54,ALUMINUM,FIXED,27,26,WRAP AROUND RUBBER,9,90,55,NULL
73,,SIDELITE,49,6,SCREW BEADS,9,211,50,NULL
75,,SIDELITE,50,6,SCREW BEADS,9,211,70,NULL
0,ANDERSEN,,0,19,,1,6,30,NULL
54,,SLIDER,24,36,VINYL BEADS,9,211,60,NULL
94,STEEL,,20,1,SCREW BEADS,5,6,65,NULL
27,,,31,24,VINYL BEADS,1,90,40,NULL
41,VINYL,FIXED,32,38,VINYL BEADS,9,6,50,NULL
29,,,20,60,WRAP AROUND FRAME,1,118,20,NULL
30,,,30,36,PUTTY,1,211,70,NULL
39,VINYL,FIXED,26,41,SNAP BEADS,9,211,35,NULL
21,,,32,26,VINYL BEADS,2,6,25,NULL
67,,,38,28,WOOD BEADS,2,6,60,NULL
41,VINYL,SLIDER,20,39,SNAP BEADS,9,118,65,NULL
53,ALUMINUM,FLUSH GLAZE,46,39,,2,228,20,NULL
42,ALUMINUM,CURTAIN WALL,55,42,,5,6,40,NULL
47,,,42,43,VINYL BEADS,9,62,25,NULL
46,,,42,43,SNAP BEADS,9,62,20,NULL
68,ALUMINUM,FLUSH GLAZE,92,41,,2,211,30,NULL
21,,,26,30,VINYL BEADS,9,6,30,NULL
92,ALUMINUM,FLUSH GLAZE,54,15,,2,90,45,NULL
82,,,48,23,SCREW BEADS,2,6,50,NULL
106,,SIDELITE,48,8,SCREW BEADS,9,90,55,NULL
94,,,50,24,,2,90,55,NULL
27,,BOTTOM SH,31,25,SNAP BEADS,1,6,35,NULL
83,,,46,24,SCREW BEADS,2,62,65,NULL
34,,SLIDER,36,56,,9,6,45,NULL
20,,,27,72,VINYL BEADS,9,137,40,NULL
22,,,30,36,VINYL BEADS,9,6,25,NULL
